Date,Real,Predicted
2019-08-21 16:00:00,149.87,151.18695
2019-08-22 16:00:00,148.84,153.20126
2019-08-23 16:00:00,151.72,154.94188
2019-08-26 16:00:00,156.93,156.30083
2019-08-27 16:00:00,148.77,156.88548
2019-08-28 16:00:00,149.29,157.08063
2019-08-29 16:00:00,157.84,157.53543
2019-08-30 16:00:00,160.15,158.66707
2019-09-03 16:00:00,138.01,159.25629
2019-09-04 16:00:00,131.6,157.68506
2019-09-05 16:00:00,137.39,158.15857
2019-09-06 16:00:00,143.75,157.7287
2019-09-09 16:00:00,144.73,153.26993
2019-09-10 16:00:00,149.18,146.66219
2019-09-11 16:00:00,149.95,147.096
2019-09-12 16:00:00,153.0,150.65913
2019-09-13 16:00:00,147.42,153.5411
2019-09-16 16:00:00,148.17,155.00189
2019-09-17 16:00:00,146.45,156.53993
2019-09-18 16:00:00,151.17,156.65181
2019-09-19 16:00:00,152.88,156.44891
2019-09-20 16:00:00,154.53,155.0972
2019-09-23 16:00:00,157.34,155.8034
2019-09-24 16:00:00,156.64,156.78087
2019-09-25 16:00:00,158.55,159.03856
2019-09-26 16:00:00,155.77,160.34187
2019-09-27 16:00:00,159.19,161.4506
2019-09-30 16:00:00,158.69,162.31758
2019-10-01 16:00:00,157.1,162.38171
2019-10-02 16:00:00,155.41,162.76419
2019-10-03 16:00:00,154.26,162.42722
2019-10-04 16:00:00,156.45,162.96783
2019-10-07 16:00:00,156.78,162.17433
2019-10-08 16:00:00,156.52,161.31795
2019-10-09 16:00:00,152.05,160.88051
2019-10-10 16:00:00,149.26,160.91884
2019-10-11 16:00:00,150.64,161.19221
2019-10-14 16:00:00,161.14,160.39621
2019-10-15 16:00:00,162.52,159.31662
2019-10-16 16:00:00,168.62,158.4013
2019-10-17 16:00:00,165.56,159.67737
2019-10-18 16:00:00,169.81,163.0746
2019-10-21 16:00:00,168.95,167.4576
2019-10-22 16:00:00,175.71,169.16426
2019-10-23 16:00:00,174.4,171.16902
2019-10-24 16:00:00,183.94,171.58104
2019-10-25 16:00:00,177.5,173.96394
2019-10-28 16:00:00,173.78,175.69623
2019-10-29 16:00:00,176.87,178.41089
2019-10-30 16:00:00,176.5,179.03246
2019-10-31 16:00:00,177.25,180.27313
2019-11-01 16:00:00,179.56,177.75336
2019-11-04 16:00:00,182.28,177.35915
2019-11-05 16:00:00,183.0,178.67802
2019-11-06 16:00:00,188.62,179.35954
2019-11-07 16:00:00,188.26,180.83327
2019-11-08 16:00:00,190.95,182.84944
2019-11-11 16:00:00,191.79,184.88753
2019-11-12 16:00:00,189.26,186.71759
2019-11-13 16:00:00,192.1,188.94963
2019-11-14 16:00:00,191.54,189.50072
2019-11-15 16:00:00,190.01,190.44106
2019-11-18 16:00:00,184.7,190.46136
2019-11-19 16:00:00,188.21,189.91139
2019-11-20 16:00:00,187.29,190.11876
2019-11-21 16:00:00,186.3,188.96187
2019-11-22 16:00:00,188.47,187.58978
2019-11-25 16:00:00,190.67,186.50813
2019-11-26 16:00:00,191.17,187.56007
2019-11-27 16:00:00,186.91,187.5721
2019-11-29 13:00:00,178.09,188.0432
2019-12-02 16:00:00,179.33,188.73668
2019-12-03 16:00:00,181.0,188.16005
2019-12-04 16:00:00,180.47,186.00668
2019-12-05 16:00:00,183.19,182.76143
2019-12-06 16:00:00,183.01,180.45988
2019-12-09 16:00:00,179.85,181.41783
2019-12-10 16:00:00,173.11,182.1593
2019-12-11 16:00:00,173.92,182.12889
2019-12-12 16:00:00,170.19,181.91795
2019-12-13 16:00:00,168.82,179.97775
2019-12-16 16:00:00,158.45,177.09633
2019-12-17 16:00:00,162.04,174.09596
2019-12-18 16:00:00,159.58,172.50603
2019-12-19 16:00:00,160.19,169.6369
