Company,Ticker,,,,,,,,,,,,,,,,,,,
Nvidia Corporation,NVDA,,End,1/8/21,,,,,,,,,,,,,,,,
Pinduoduo Inc,PDD,,Start,1/8/19,,,,,,,,,,,,,,,,
Netflix Inc,NFLX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NVDA,,PDD,,NFLX,,,,,,,,,,,,,,,
,Closing Price,Volume,Closing Price,Volume,Closing Price,Volume,,,,,,,,,,,,,,
1/8/2019 16:00:00,139.83,19650429,24,3355000,320.27,15359180,,,Closing Prices,,,,,,Closing Prices,,,,,
1/9/2019 16:00:00,142.58,15431475,25.54,7322212,319.96,13343152,,,NVDA,,PDD,,NFLX,,NVDA,,PDD,,NFLX,
1/10/2019 16:00:00,145.23,13078906,26.38,4956502,324.66,13472475,,,Date,Close,Date,Close,Date,Close,Date,Volume,Date,Volume,Date,Volume
1/11/2019 16:00:00,148.83,21869066,26.16,2293294,337.59,19500429,,,1/8/2019 16:00:00,139.83,1/8/2019 16:00:00,24,1/8/2019 16:00:00,320.27,1/8/2019 16:00:00,19650429,1/8/2019 16:00:00,3355000,1/8/2019 16:00:00,15359180
1/14/2019 16:00:00,150.44,18254249,24.37,5526588,332.94,10499582,,,1/9/2019 16:00:00,142.58,1/9/2019 16:00:00,25.54,1/9/2019 16:00:00,319.96,1/9/2019 16:00:00,15431475,1/9/2019 16:00:00,7322212,1/9/2019 16:00:00,13343152
1/15/2019 16:00:00,149.87,15425251,24.41,6429088,354.64,21181234,,,1/10/2019 16:00:00,145.23,1/10/2019 16:00:00,26.38,1/10/2019 16:00:00,324.66,1/10/2019 16:00:00,13078906,1/10/2019 16:00:00,4956502,1/10/2019 16:00:00,13472475
1/16/2019 16:00:00,148.84,11752592,25.14,3801527,351.39,15385548,,,1/11/2019 16:00:00,148.83,1/11/2019 16:00:00,26.16,1/11/2019 16:00:00,337.59,1/11/2019 16:00:00,21869066,1/11/2019 16:00:00,2293294,1/11/2019 16:00:00,19500429
1/17/2019 16:00:00,151.72,12335905,24.54,3672977,353.19,18871195,,,1/14/2019 16:00:00,150.44,1/14/2019 16:00:00,24.37,1/14/2019 16:00:00,332.94,1/14/2019 16:00:00,18254249,1/14/2019 16:00:00,5526588,1/14/2019 16:00:00,10499582
1/18/2019 16:00:00,156.93,16283423,24.99,5435588,339.1,26621040,,,1/15/2019 16:00:00,149.87,1/15/2019 16:00:00,24.41,1/15/2019 16:00:00,354.64,1/15/2019 16:00:00,15425251,1/15/2019 16:00:00,6429088,1/15/2019 16:00:00,21181234
1/22/2019 16:00:00,148.77,16538776,25.17,8955551,325.16,17941416,,,1/16/2019 16:00:00,148.84,1/16/2019 16:00:00,25.14,1/16/2019 16:00:00,351.39,1/16/2019 16:00:00,11752592,1/16/2019 16:00:00,3801527,1/16/2019 16:00:00,15385548
1/23/2019 16:00:00,149.29,14775545,26.67,6518319,321.99,13480138,,,1/17/2019 16:00:00,151.72,1/17/2019 16:00:00,24.54,1/17/2019 16:00:00,353.19,1/17/2019 16:00:00,12335905,1/17/2019 16:00:00,3672977,1/17/2019 16:00:00,18871195
1/24/2019 16:00:00,157.84,17724261,28.74,8310987,326.67,11131627,,,1/18/2019 16:00:00,156.93,1/18/2019 16:00:00,24.99,1/18/2019 16:00:00,339.1,1/18/2019 16:00:00,16283423,1/18/2019 16:00:00,5435588,1/18/2019 16:00:00,26621040
