Date,Closing Price,Volume
1/8/2019 16:00,320.27,15359180
1/9/2019 16:00,319.96,13343152
1/10/2019 16:00,324.66,13472475
1/11/2019 16:00,337.59,19500429
1/14/2019 16:00,332.94,10499582
1/15/2019 16:00,354.64,21181234
1/16/2019 16:00,351.39,15385548
1/17/2019 16:00,353.19,18871195
1/18/2019 16:00,339.1,26621040
1/22/2019 16:00,325.16,17941416
1/23/2019 16:00,321.99,13480138
1/24/2019 16:00,326.67,11131627
1/25/2019 16:00,338.05,11166609
1/28/2019 16:00,335.66,8652082
1/29/2019 16:00,328.9,7655189
1/30/2019 16:00,340.66,9234530
1/31/2019 16:00,339.5,8535517
2/1/2019 16:00,339.85,9827760
2/4/2019 16:00,351.34,9051387
2/5/2019 16:00,355.81,9046623
2/6/2019 16:00,352.19,6717662
2/7/2019 16:00,344.71,7864529
2/8/2019 16:00,347.57,7561391
2/11/2019 16:00,345.73,5454863
2/12/2019 16:00,359.97,10429399
2/13/2019 16:00,351.77,10559146
2/14/2019 16:00,359.07,9295338
2/15/2019 16:00,356.87,9229980
2/19/2019 16:00,361.92,7396559
2/20/2019 16:00,359.91,8110741
2/21/2019 16:00,356.97,6227897
2/22/2019 16:00,363.02,7088214
2/25/2019 16:00,363.91,7569320
2/26/2019 16:00,364.97,4944593
2/27/2019 16:00,362.87,5629945
2/28/2019 16:00,358.1,6186763
3/1/2019 16:00,357.32,5526539
3/4/2019 16:00,351.04,7486996
3/5/2019 16:00,354.3,5937754
3/6/2019 16:00,359.61,6211895
3/7/2019 16:00,352.6,6151331
3/8/2019 16:00,349.6,6898838
3/11/2019 16:00,358.86,5387285
3/12/2019 16:00,356.27,5164571
3/13/2019 16:00,361.21,6444092
3/14/2019 16:00,358.82,5271429
3/15/2019 16:00,361.46,8443210
3/18/2019 16:00,363.44,7194726
3/19/2019 16:00,358.78,7541425
3/20/2019 16:00,375.22,10917165
3/21/2019 16:00,377.87,8544017
3/22/2019 16:00,361.01,8661346
3/25/2019 16:00,366.23,8473845
