,NVDA,,,,,,,,,,,,,,,,
,Closing Price,Volume,,,,,,,,,,,,,,,
1/8/2019 16:00,139.83,19650429,,,,,,,,,,,,,,,
1/9/2019 16:00,142.58,15431475,,,,,,,,,,,,,,,
1/10/2019 16:00,145.23,13078906,,,,,,,,,,,,,,,
1/11/2019 16:00,148.83,21869066,,,,,,,,,,,,,,,
1/14/2019 16:00,150.44,18254249,,,,,,,,,,,,,,,
1/15/2019 16:00,149.87,15425251,,,,,,,,,,,,,,,
1/16/2019 16:00,148.84,11752592,,,,,,,,,,,,,,,
1/17/2019 16:00,151.72,12335905,,,,,,,,,,,,,,,
1/18/2019 16:00,156.93,16283423,,,,,,,,,,,,,,,
1/22/2019 16:00,148.77,16538776,,,,,,,,,,,,,,,
1/23/2019 16:00,149.29,14775545,,,,,,,,,,,,,,,
1/24/2019 16:00,157.84,17724261,,,,,,,,,,,,,,,
1/25/2019 16:00,160.15,28880547,,,,,,,,,,,,,,,
1/28/2019 16:00,138.01,62788169,,,,,,,,,,,,,,,
1/29/2019 16:00,131.6,28848347,,,,,,,,,,,,,,,
1/30/2019 16:00,137.39,24355739,,,,,,,,,,,,,,,
1/31/2019 16:00,143.75,21071338,,,,,,,,,,,,,,,
2/1/2019 16:00,144.73,15626175,,,,,,,,,,,,,,,
2/4/2019 16:00,149.18,13215018,,,,,,,,,,,,,,,
2/5/2019 16:00,149.95,13560625,,,,,,,,,,,,,,,
2/6/2019 16:00,153,17561647,,,,,,,,,,,,,,,
2/7/2019 16:00,147.42,15928000,,,,,,,,,,,,,,,
2/8/2019 16:00,148.17,11540137,,,,,,,,,,,,,,,
2/11/2019 16:00,146.45,12379515,,,,,,,,,,,,,,,
2/12/2019 16:00,151.17,14776513,,,,,,,,,,,,,,,
2/13/2019 16:00,152.88,15134302,,,,,,,,,,,,,,,
2/14/2019 16:00,154.53,20681574,,,,,,,,,,,,,,,
2/15/2019 16:00,157.34,37918734,,,,,,,,,,,,,,,
2/19/2019 16:00,156.64,13797316,,,,,,,,,,,,,,,
2/20/2019 16:00,158.55,13524737,,,,,,,,,,,,,,,
2/21/2019 16:00,155.77,11213668,,,,,,,,,,,,,,,
2/22/2019 16:00,159.19,10043531,,,,,,,,,,,,,,,
2/25/2019 16:00,158.69,16400481,,,,,,,,,,,,,,,
2/26/2019 16:00,157.1,12211571,,,,,,,,,,,,,,,
2/27/2019 16:00,155.41,12506381,,,,,,,,,,,,,,,
2/28/2019 16:00,154.26,8123565,,,,,,,,,,,,,,,
3/1/2019 16:00,156.45,8929678,,,,,,,,,,,,,,,
3/4/2019 16:00,156.78,10249750,,,,,,,,,,,,,,,
3/5/2019 16:00,156.52,9073119,,,,,,,,,,,,,,,
3/6/2019 16:00,152.05,10088149,,,,,,,,,,,,,,,
3/7/2019 16:00,149.26,11252633,,,,,,,,,,,,,,,
3/8/2019 16:00,150.64,10560371,,,,,,,,,,,,,,,
3/11/2019 16:00,161.14,21493150,,,,,,,,,,,,,,,
3/12/2019 16:00,162.52,14489368,,,,,,,,,,,,,,,
3/13/2019 16:00,168.62,19222518,,,,,,,,,,,,,,,
3/14/2019 16:00,165.56,12984630,,,,,,,,,,,,,,,
3/15/2019 16:00,169.81,16536482,,,,,,,,,,,,,,,
3/18/2019 16:00,168.95,12174829,,,,,,,,,,,,,,,
3/19/2019 16:00,175.71,21374310,,,,,,,,,,,,,,,
3/20/2019 16:00,174.4,17978715,,,,,,,,,,,,,,,
3/21/2019 16:00,183.94,20607767,,,,,,,,,,,,,,,
3/22/2019 16:00,177.5,18691087,,,,,,,,,,,,,,,
3/25/2019 16:00,173.78,13130301,,,,,,,,,,,,,,,
3/26/2019 16:00,176.87,17587678,,,,,,,,,,,,,,,
3/27/2019 16:00,176.5,11859294,,,,,,,,,,,,,,,
3/28/2019 16:00,177.25,12006602,,,,,,,,,,,,,,,
3/29/2019 16:00,179.56,11422379,,,,,,,,,,,,,,,
