,PDD,
,Closing Price,Volume
1/8/2019 16:00,24,3355000
1/9/2019 16:00,25.54,7322212
1/10/2019 16:00,26.38,4956502
1/11/2019 16:00,26.16,2293294
1/14/2019 16:00,24.37,5526588
1/15/2019 16:00,24.41,6429088
1/16/2019 16:00,25.14,3801527
1/17/2019 16:00,24.54,3672977
1/18/2019 16:00,24.99,5435588
1/22/2019 16:00,25.17,8955551
1/23/2019 16:00,26.67,6518319
1/24/2019 16:00,28.74,8310987
1/25/2019 16:00,29.5,5515774
1/28/2019 16:00,29,3325532
1/29/2019 16:00,30.19,5238224
1/30/2019 16:00,28.82,6661299
1/31/2019 16:00,29.21,3474160
2/1/2019 16:00,28.96,4183070
2/4/2019 16:00,29.93,2945241
2/5/2019 16:00,30.33,3097849
2/6/2019 16:00,28,9598162
2/7/2019 16:00,26.51,8968283
2/8/2019 16:00,25.95,32243959
2/11/2019 16:00,26.74,13342089
2/12/2019 16:00,26.95,8825522
2/13/2019 16:00,27.01,7691677
2/14/2019 16:00,27.03,3726985
2/15/2019 16:00,27.52,5253268
2/19/2019 16:00,29.09,8994135
2/20/2019 16:00,29.33,7401686
2/21/2019 16:00,28.5,5593251
2/22/2019 16:00,29.38,6594775
2/25/2019 16:00,29.01,10262421
2/26/2019 16:00,29.14,6047228
2/27/2019 16:00,28.56,5923495
2/28/2019 16:00,29.94,27783265
3/1/2019 16:00,29.99,6119836
3/4/2019 16:00,31.14,8554529
3/5/2019 16:00,30.78,4668875
3/6/2019 16:00,29.99,5749023
3/7/2019 16:00,29.09,5208837
3/8/2019 16:00,28.46,4882410
3/11/2019 16:00,29.93,8469411
3/12/2019 16:00,30.43,10569737
3/13/2019 16:00,25.12,56122139
3/14/2019 16:00,24.39,15930747
3/15/2019 16:00,24.52,14894738
3/18/2019 16:00,25.83,13886832
3/19/2019 16:00,25.26,12704345
3/20/2019 16:00,24.61,10836212
3/21/2019 16:00,24.83,5450873
3/22/2019 16:00,23.5,10020726
3/25/2019 16:00,23.34,5595867
3/26/2019 16:00,23.36,4476546
3/27/2019 16:00,23.61,5092408
3/28/2019 16:00,23.32,5364727
3/29/2019 16:00,24.8,10945272
4/1/2019 16:00,24.67,7601669
4/2/2019 16:00,24.46,4058777
4/3/2019 16:00,23.51,12501450
4/4/2019 16:00,22.6,14264499
4/5/2019 16:00,21.6,19112167
4/8/2019 16:00,21.83,10407383
4/9/2019 16:00,22.35,5875205
4/10/2019 16:00,21.95,8009083
4/11/2019 16:00,21.67,3895645
4/12/2019 16:00,21.69,7697749
4/15/2019 16:00,22.01,6901720
4/16/2019 16:00,22.5,7201593
4/17/2019 16:00,23.02,5907345
4/18/2019 16:00,23.55,5208373
4/22/2019 16:00,24,5323748
4/23/2019 16:00,24.43,6073668
4/24/2019 16:00,23.94,6964564
4/25/2019 16:00,23.07,7138194
4/26/2019 16:00,21.92,13269600
4/29/2019 16:00,22.28,4429239
4/30/2019 16:00,22.23,4645327
5/1/2019 16:00,23.3,7310560
5/2/2019 16:00,23.13,4471925
5/3/2019 16:00,23.96,4956936
5/6/2019 16:00,23.74,6698425
5/7/2019 16:00,22.82,5378229
5/8/2019 16:00,23.19,5858813
5/9/2019 16:00,23.13,6359694
5/10/2019 16:00,22.4,7946087
5/13/2019 16:00,20.75,13825990
5/14/2019 16:00,22.15,8332534
5/15/2019 16:00,22.03,6364588
5/16/2019 16:00,22.86,9291021
5/17/2019 16:00,22.7,10572598
5/20/2019 16:00,20.78,26784897
5/21/2019 16:00,21.52,8945169
5/22/2019 16:00,20.46,10456429
5/23/2019 16:00,20.53,8147184
5/24/2019 16:00,20.28,3124165
5/28/2019 16:00,20.23,7613559
5/29/2019 16:00,19.98,5740291
5/30/2019 16:00,19.65,4987497
5/31/2019 16:00,19.42,4569825
6/3/2019 16:00,19.03,6404796
6/4/2019 16:00,19.28,6081140
6/5/2019 16:00,19.13,3951560
6/6/2019 16:00,19.37,4101353
6/7/2019 16:00,19.78,3391691
6/10/2019 16:00,20.2,4995147
6/11/2019 16:00,20.05,4035524
6/12/2019 16:00,20.41,4362748
6/13/2019 16:00,20.47,4121757
6/14/2019 16:00,20.51,2631230
6/17/2019 16:00,20.59,2690282
6/18/2019 16:00,20.89,7482878
6/19/2019 16:00,20.96,4221184
6/20/2019 16:00,20.95,6480781
6/21/2019 16:00,21.05,6801075
6/24/2019 16:00,20.75,3552327
6/25/2019 16:00,20.54,4833312
6/26/2019 16:00,20.45,6456712
6/27/2019 16:00,20.76,4537544
6/28/2019 16:00,20.63,3002421
7/1/2019 16:00,20.64,7599563
7/2/2019 16:00,20.31,6493908
7/3/2019 13:00,20.09,3357592
7/5/2019 16:00,20.29,4300868
7/8/2019 16:00,20.04,6575886
7/9/2019 16:00,20.48,4211617
7/10/2019 16:00,19.84,9304921
7/11/2019 16:00,19.34,7464466
7/12/2019 16:00,19.14,4545323
7/15/2019 16:00,19.35,4197934
7/16/2019 16:00,20.12,9463665
7/17/2019 16:00,19.97,4525366
7/18/2019 16:00,20.19,4484211
7/19/2019 16:00,20.05,4629291
7/22/2019 16:00,20.14,3655041
7/23/2019 16:00,20.99,6333508
7/24/2019 16:00,20.93,2373091
7/25/2019 16:00,21.51,5780460
7/26/2019 16:00,21.61,4021982
7/29/2019 16:00,21.91,3475465
7/30/2019 16:00,21.95,3072654
7/31/2019 16:00,22.27,6055718
8/1/2019 16:00,22.66,11806047
8/2/2019 16:00,22.99,8494534
8/5/2019 16:00,22.17,6594143
8/6/2019 16:00,21.96,4438468
8/7/2019 16:00,22.13,4181559
8/8/2019 16:00,22.81,4332481
8/9/2019 16:00,22.6,5497002
8/12/2019 16:00,22.36,5578039
8/13/2019 16:00,23.78,7279089
8/14/2019 16:00,23.56,4818693
8/15/2019 16:00,23.87,4911419
8/16/2019 16:00,25.01,7496148
8/19/2019 16:00,25.57,7265341
8/20/2019 16:00,25.96,10784340
8/21/2019 16:00,30.11,42238412
8/22/2019 16:00,30.59,20527852
8/23/2019 16:00,29.49,11150581
8/26/2019 16:00,30.61,8921197
8/27/2019 16:00,30.87,7329734
8/28/2019 16:00,30.93,9671792
8/29/2019 16:00,33.61,15964578
8/30/2019 16:00,32.77,8084712
9/3/2019 16:00,33.25,7293116
9/4/2019 16:00,34,6748999
9/5/2019 16:00,34.87,4860269
9/6/2019 16:00,34.98,7478209
9/9/2019 16:00,34.98,5788327
9/10/2019 16:00,34.85,5620383
9/11/2019 16:00,36.67,6534204
9/12/2019 16:00,36.16,6520453
9/13/2019 16:00,35.9,4994110
9/16/2019 16:00,34.73,7215282
9/17/2019 16:00,35.43,5927940
9/18/2019 16:00,34.37,6987467
9/19/2019 16:00,34.62,5109777
9/20/2019 16:00,34.08,6618207
9/23/2019 16:00,33.82,5839989
9/24/2019 16:00,30.99,21279072
9/25/2019 16:00,32.25,15434711
9/26/2019 16:00,32.65,6859553
9/27/2019 16:00,31.28,15985077
9/30/2019 16:00,32.22,6584660
10/1/2019 16:00,32.75,4403263
10/2/2019 16:00,32.59,5002866
10/3/2019 16:00,32.95,2985464
10/4/2019 16:00,33.35,3457284
10/7/2019 16:00,31.67,7228267
10/8/2019 16:00,31.25,4794285
10/9/2019 16:00,31.78,3270856
10/10/2019 16:00,31.94,3030298
10/11/2019 16:00,32.86,5383090
10/14/2019 16:00,32.84,2815916
10/15/2019 16:00,33.94,5961455
10/16/2019 16:00,33.74,2964963
10/17/2019 16:00,34.2,3638869
10/18/2019 16:00,33.38,4600649
10/21/2019 16:00,34,3527931
10/22/2019 16:00,34.37,5342479
10/23/2019 16:00,35.5,4913817
10/24/2019 16:00,39.96,17608504
10/25/2019 16:00,40.84,13138278
10/28/2019 16:00,42.58,7177179
10/29/2019 16:00,40.5,7195993
10/30/2019 16:00,40.88,4975231
10/31/2019 16:00,40.88,5855985
11/1/2019 16:00,41.49,5673820
11/4/2019 16:00,42.53,6707081
11/5/2019 16:00,43.53,7066218
11/6/2019 16:00,43.49,6516067
11/7/2019 16:00,43.31,4819812
11/8/2019 16:00,43.23,4520221
11/11/2019 16:00,41.92,6269796
